date,week_no,trial_id,tank,side,urchin_dens,urchin_size_cat,days_starved,kelp_in,time_out,kelp_out,use,size,weight
5/20/19,1,13,7,I,7,5,5,49.7,1130,23,1,57,84.3
5/20/19,1,13,7,I,7,5,5,49.7,1130,23,1,56,75.2
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,29,10.7
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,25,8.9
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,29,12.8
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,20,4.6
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,23,5.7
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,25,7.2
5/20/19,1,14,7,D,7,2,5,52.5,1130,45.3,1,21,4.4
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,44,30.8
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,43,34.9
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,45,45.1
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,47,38.6
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,44,39.1
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,40,34.4
5/20/19,1,16,8,I,7,4,5,49.7,1130,40.6,1,47,42.9
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,13,1.9
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,15,2.2
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,18,3.5
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,16,2.6
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,17,3.4
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,18,4.4
5/20/19,1,18,9,I,7,1,5,51.2,1130,44.8,1,19,3.7
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,35,20
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,37,25.7
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,37,22
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,38,23.8
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,35,19.8
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,32,16.8
5/20/19,1,19,10,D,7,3,5,51,1130,38.6,1,37,24.7
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,59,95.5
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,59,87.9
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,57,94.2
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,59,85.9
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,50,58.7
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,53,67.8
5/20/19,1,20,10,I,7,5,5,48.9,1130,18.8,1,51,57.7
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,59,91.1
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,56,85.2
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,57,86.1
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,59,100.9
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,52,69.9
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,59,87.9
5/20/19,1,21,11,I,7,5,5,48.9,1130,29.2,1,58,101.7
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,63,99
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,64,114.6
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,66,120.9
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,62,103.3
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,62,89.2
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,61,95.4
5/20/19,1,22,11,D,7,6,5,49.8,1130,43.1,1,67,130
5/27/19,2,28,1,I,7,4,5,50.6,1100,30.8,1,41,33.1
