trial_id,size_class,rep,tank,side,level,size,kelp_in,kelp_out,time_ran
1,30-49,3,5,I,B,32,50.6,35.8,48
1,30-49,3,5,I,B,41,50.6,35.8,48
1,30-49,3,5,I,B,38,50.6,35.8,48
1,30-49,3,5,I,B,43,50.6,35.8,48
1,30-49,3,5,I,B,40,50.6,35.8,48
3,90-109,3,5,D,B,104,50.8,45.5,48
3,90-109,3,5,D,B,100,50.8,45.5,48
3,90-109,3,5,D,B,92,50.8,45.5,48
3,90-109,3,5,D,B,93,50.8,45.5,48
3,90-109,3,5,D,B,99,50.8,45.5,48
2,30-49,2,5,I,T,33,50.1,39,48
2,30-49,2,5,I,T,47,50.1,39,48
2,30-49,2,5,I,T,36,50.1,39,48
2,30-49,2,5,I,T,35,50.1,39,48
2,30-49,2,5,I,T,40,50.1,39,48
4,50-69,1,5,D,T,65,50.7,26.5,48
4,50-69,1,5,D,T,66,50.7,26.5,48
4,50-69,1,5,D,T,60,50.7,26.5,48
4,50-69,1,5,D,T,62,50.7,26.5,48
4,50-69,1,5,D,T,60,50.7,26.5,48
5,90-109,2,7,I,B,103,50.6,48.9,48
5,90-109,2,7,I,B,102,50.6,48.9,48
5,90-109,2,7,I,B,103,50.6,48.9,48
5,90-109,2,7,I,B,95,50.6,48.9,48
5,90-109,2,7,I,B,94,50.6,48.9,48
6,70-89,3,7,D,B,88,50.6,47.4,48
6,70-89,3,7,D,B,83,50.6,47.4,48
6,70-89,3,7,D,B,75,50.6,47.4,48
6,70-89,3,7,D,B,79,50.6,47.4,48
6,70-89,3,7,D,B,73,50.6,47.4,48
7,10.0-29,1,7,I,T,24,50.2,44.6,48
7,10.0-29,1,7,I,T,29,50.2,44.6,48
7,10.0-29,1,7,I,T,27,50.2,44.6,48
7,10.0-29,1,7,I,T,26,50.2,44.6,48
7,10.0-29,1,7,I,T,27,50.2,44.6,48
8,70-89,2,7,D,T,88,50.4,49.6,48
8,70-89,2,7,D,T,76,50.4,49.6,48
8,70-89,2,7,D,T,85,50.4,49.6,48
8,70-89,2,7,D,T,83,50.4,49.6,48
8,70-89,2,7,D,T,88,50.4,49.6,48
9,50-69,3,12,I,B,67,50.8,15.8,48
9,50-69,3,12,I,B,51,50.8,15.8,48
9,50-69,3,12,I,B,51,50.8,15.8,48
9,50-69,3,12,I,B,55,50.8,15.8,48
9,50-69,3,12,I,B,62,50.8,15.8,48
10,70-89,1,12,D,B,89,50.7,48.2,48
10,70-89,1,12,D,B,87,50.7,48.2,48
10,70-89,1,12,D,B,79,50.7,48.2,48
10,70-89,1,12,D,B,78,50.7,48.2,48
10,70-89,1,12,D,B,84,50.7,48.2,48
11,10.0-29,3,12,I,T,28,50.4,41.9,48
11,10.0-29,3,12,I,T,23,50.4,41.9,48
11,10.0-29,3,12,I,T,25,50.4,41.9,48
11,10.0-29,3,12,I,T,22,50.4,41.9,48
11,10.0-29,3,12,I,T,24,50.4,41.9,48
12,90-109,1,12,D,T,99,50.7,46.5,48
12,90-109,1,12,D,T,94,50.7,46.5,48
12,90-109,1,12,D,T,103,50.7,46.5,48
12,90-109,1,12,D,T,103,50.7,46.5,48
12,90-109,1,12,D,T,94,50.7,46.5,48
13,50-69,2,10,I,B,61,50.7,26.4,48
13,50-69,2,10,I,B,54,50.7,26.4,48
13,50-69,2,10,I,B,50,50.7,26.4,48
13,50-69,2,10,I,B,66,50.7,26.4,48
13,50-69,2,10,I,B,69,50.7,26.4,48
14,30-49,1,10,D,B,40,50.8,41.5,48
14,30-49,1,10,D,B,47,50.8,41.5,48
14,30-49,1,10,D,B,35,50.8,41.5,48
14,30-49,1,10,D,B,45,50.8,41.5,48
14,30-49,1,10,D,B,36,50.8,41.5,48
15,10.0-29,2,13,I,T,21,50.8,45.6,48
15,10.0-29,2,13,I,T,26,50.8,45.6,48
15,10.0-29,2,13,I,T,29,50.8,45.6,48
15,10.0-29,2,13,I,T,22,50.8,45.6,48
15,10.0-29,2,13,I,T,26,50.8,45.6,48
16,,control,13,D,T,NA,50.3,50.2,48
1,30-49,3,5,I,B,32,50.6,33,96
1,30-49,3,5,I,B,41,50.6,33,96
1,30-49,3,5,I,B,38,50.6,33,96
1,30-49,3,5,I,B,43,50.6,33,96
1,30-49,3,5,I,B,40,50.6,33,96
3,90-109,3,5,D,B,104,50.8,39.2,96
3,90-109,3,5,D,B,100,50.8,39.2,96
3,90-109,3,5,D,B,92,50.8,39.2,96
3,90-109,3,5,D,B,93,50.8,39.2,96
3,90-109,3,5,D,B,99,50.8,39.2,96
2,30-49,2,5,I,T,33,50.1,39.6,96
2,30-49,2,5,I,T,47,50.1,39.6,96
2,30-49,2,5,I,T,36,50.1,39.6,96
2,30-49,2,5,I,T,35,50.1,39.6,96
2,30-49,2,5,I,T,40,50.1,39.6,96
4,50-69,1,5,D,T,65,50.7,24.2,96
4,50-69,1,5,D,T,66,50.7,24.2,96
4,50-69,1,5,D,T,60,50.7,24.2,96
4,50-69,1,5,D,T,62,50.7,24.2,96
4,50-69,1,5,D,T,60,50.7,24.2,96
5,90-109,2,7,I,B,103,50.6,47.5,96
5,90-109,2,7,I,B,102,50.6,47.5,96
5,90-109,2,7,I,B,103,50.6,47.5,96
5,90-109,2,7,I,B,95,50.6,47.5,96
5,90-109,2,7,I,B,94,50.6,47.5,96
6,70-89,3,7,D,B,88,50.6,47.2,96
6,70-89,3,7,D,B,83,50.6,47.2,96
6,70-89,3,7,D,B,75,50.6,47.2,96
6,70-89,3,7,D,B,79,50.6,47.2,96
6,70-89,3,7,D,B,73,50.6,47.2,96
7,10.0-29,1,7,I,T,24,50.2,44,96
7,10.0-29,1,7,I,T,29,50.2,44,96
7,10.0-29,1,7,I,T,27,50.2,44,96
7,10.0-29,1,7,I,T,26,50.2,44,96
7,10.0-29,1,7,I,T,27,50.2,44,96
8,70-89,2,7,D,T,88,50.4,47.8,96
8,70-89,2,7,D,T,76,50.4,47.8,96
8,70-89,2,7,D,T,85,50.4,47.8,96
8,70-89,2,7,D,T,83,50.4,47.8,96
8,70-89,2,7,D,T,88,50.4,47.8,96
9,50-69,3,12,I,B,67,50.8,1.6,96
9,50-69,3,12,I,B,51,50.8,1.6,96
9,50-69,3,12,I,B,51,50.8,1.6,96
9,50-69,3,12,I,B,55,50.8,1.6,96
9,50-69,3,12,I,B,62,50.8,1.9,96
10,70-89,1,12,D,B,89,50.7,47.9,96
10,70-89,1,12,D,B,87,50.7,47.9,96
10,70-89,1,12,D,B,79,50.7,47.9,96
10,70-89,1,12,D,B,78,50.7,47.9,96
10,70-89,1,12,D,B,84,50.7,47.9,96
11,10.0-29,3,12,I,T,28,50.4,36.2,96
11,10.0-29,3,12,I,T,23,50.4,36.2,96
11,10.0-29,3,12,I,T,25,50.4,36.2,96
11,10.0-29,3,12,I,T,22,50.4,36.2,96
11,10.0-29,3,12,I,T,24,50.4,36.2,96
12,90-109,1,12,D,T,99,50.7,46,96
12,90-109,1,12,D,T,94,50.7,46,96
12,90-109,1,12,D,T,103,50.7,46,96
12,90-109,1,12,D,T,103,50.7,46,96
12,90-109,1,12,D,T,94,50.7,46,96
13,50-69,2,10,I,B,61,50.7,6.5,96
13,50-69,2,10,I,B,54,50.7,6.5,96
13,50-69,2,10,I,B,50,50.7,6.5,96
13,50-69,2,10,I,B,66,50.7,6.5,96
13,50-69,2,10,I,B,69,50.7,6.5,96
14,30-49,1,10,D,B,40,50.8,32,96
14,30-49,1,10,D,B,47,50.8,32,96
14,30-49,1,10,D,B,35,50.8,32,96
14,30-49,1,10,D,B,45,50.8,32,96
14,30-49,1,10,D,B,36,50.8,32,96
15,10.0-29,2,13,I,T,21,50.8,41.3,96
15,10.0-29,2,13,I,T,26,50.8,41.3,96
15,10.0-29,2,13,I,T,29,50.8,41.3,96
15,10.0-29,2,13,I,T,22,50.8,41.3,96
15,10.0-29,2,13,I,T,26,50.8,41.3,96
16,,control,13,D,T,NA,50.3,50,96
