date,week_no,trial_id,tank,side,urchin_dens,urchin_size_cat,days_starved,time_in,kelp_in,time_out,kelp_out,kelp_consumed,kelp_per_urchin,use
5/20/19,1,1,1,D,0,control,NA,1130,49.1,1130,49.6,-0.5,#DIV/0!,0
5/20/19,1,2,1,I,7,4,5,1130,50.8,1130,39.9,10.9,1.557142857,1
5/20/19,1,3,2,D,7,1,5,1130,49.1,1130,43.8,5.3,0.757142857,1
5/20/19,1,4,2,I,7,5,5,1130,49.3,1130,32,17.3,2.471428571,1
5/20/19,1,5,3,D,7,6,5,1130,49.9,1130,31.1,18.8,2.685714286,1
5/20/19,1,6,3,I,7,2,5,1130,47.4,1130,38.8,8.6,1.228571429,1
5/20/19,1,7,4,D,7,3,5,1130,51.6,1130,40.1,11.5,1.642857143,1
5/20/19,1,8,4,I,7,1,5,1130,49.7,1130,45.3,4.4,0.628571429,1
5/20/19,1,9,5,I,7,3,5,1130,47.5,1130,31.7,15.8,2.257142857,1
5/20/19,1,10,5,D,7,1,5,1130,51,1130,47.4,3.6,0.514285714,1
5/20/19,1,11,6,I,7,4,5,1130,48.8,1130,34.4,14.4,2.057142857,1
5/20/19,1,12,6,D,7,6,5,1130,48.8,1130,35.8,13,1.857142857,1
5/20/19,1,13,7,I,7,5,5,1130,49.7,1130,23,26.7,3.814285714,1
5/20/19,1,14,7,D,7,2,5,1130,52.5,1130,45.3,7.2,1.028571429,1
5/20/19,1,15,8,D,0,control,NA,1130,48.6,1130,46.6,2,#DIV/0!,1
5/20/19,1,16,8,I,7,4,5,1130,49.7,1130,40.6,9.1,1.3,1
5/20/19,1,17,9,D,7,2,5,1130,49.2,1130,42.4,6.8,0.971428571,1
5/20/19,1,18,9,I,7,1,5,1130,51.2,1130,44.8,6.4,0.914285714,1
5/20/19,1,19,10,D,7,3,5,1130,51,1130,38.6,12.4,1.771428571,1
5/20/19,1,20,10,I,7,5,5,1130,48.9,1130,18.8,30.1,4.3,1
5/20/19,1,21,11,I,7,5,5,1130,48.9,1130,29.2,19.7,2.814285714,1
5/20/19,1,22,11,D,7,6,5,1130,49.8,1130,43.1,6.7,0.957142857,0
5/20/19,1,23,12,I,7,2,5,1130,50.6,1130,45.6,5,0.714285714,0
5/20/19,1,24,12,D,7,3,5,1130,51.2,1130,44.9,6.3,0.9,0
5/20/19,1,25,14,I,7,4,5,1130,52.1,1130,50.6,1.5,0.214285714,0
5/20/19,1,26,14,D,7,6,5,1130,49.7,1130,51.1,-1.4,-0.2,0
5/27/19,2,27,1,D,0,control,NA,1130,49.4,1100,50.2,-0.8,#DIV/0!,0
5/27/19,2,28,1,I,7,4,5,1130,50.6,1100,30.8,19.8,2.828571429,1
5/27/19,2,29,2,D,7,5,5,1130,50.7,1100,32.9,17.8,2.542857143,1
5/27/19,2,30,2,I,7,1,5,1130,50.8,1100,44.7,6.1,0.871428571,1
5/27/19,2,31,3,D,7,2,5,1130,50.3,1100,40.4,9.9,1.414285714,1
5/27/19,2,32,3,I,7,6,5,1130,51.6,1100,32.6,19,2.714285714,1
5/27/19,2,33,4,D,7,1,5,1130,50.9,1100,43.7,7.2,1.028571429,1
5/27/19,2,34,4,I,7,3,5,1130,50.7,1100,40.4,10.3,1.471428571,1
5/27/19,2,35,5,I,7,1,5,1130,50.5,1100,45.8,4.7,0.671428571,1
5/27/19,2,36,5,D,7,3,5,1130,50.6,1100,28.4,22.2,3.171428571,1
5/27/19,2,37,6,D,7,4,5,1130,50.3,1100,46.9,3.4,0.485714286,1
5/27/19,2,38,6,I,7,6,5,1130,49.6,1100,41.4,8.2,1.171428571,1
5/27/19,2,39,7,I,7,2,5,1130,49.6,1100,41.1,8.5,1.214285714,1
5/27/19,2,40,7,D,7,5,5,1130,50.8,1100,27,23.8,3.4,1
5/27/19,2,41,8,D,7,4,5,1130,50.6,1100,35.4,15.2,2.171428571,1
5/27/19,2,42,8,I,0,control,NA,1130,50.7,1100,50.5,0.2,#DIV/0!,0
5/27/19,2,43,9,D,7,1,5,1130,50.7,1100,46,4.7,0.671428571,1
5/27/19,2,44,9,I,7,2,5,1130,50.8,1100,43.1,7.7,1.1,1
5/27/19,2,45,10,D,0,control,NA,1130,50.8,1100,48.9,1.9,#DIV/0!,0
5/27/19,2,46,10,I,7,3,5,1130,50.9,1100,35.1,15.8,2.257142857,1
5/27/19,2,47,11,D,7,5,5,1130,50.4,1100,28.5,21.9,3.128571429,1
5/27/19,2,48,11,I,7,6,5,1130,49.3,1100,29.2,20.1,2.871428571,1
5/27/19,2,49,12,D,7,2,5,1130,50.4,1100,43,7.4,1.057142857,1
5/27/19,2,50,12,I,7,3,5,1130,50.4,1100,33,17.4,2.485714286,1
5/27/19,2,51,14,I,7,6,5,1130,50.8,1100,17.6,33.2,4.742857143,1
5/27/19,2,52,14,D,7,4,5,1130,50.5,1100,25.1,25.4,3.628571429,1
