trial_id,sp,urchin_density,size_class,test_diameter,mass,kelp_in,kelp_out,time_ran
2,p,7,40-49,47,41.7,50.8,39.9,48
2,p,7,40-49,44,34.9,50.8,39.9,48
2,p,7,40-49,48,41.9,50.8,39.9,48
2,p,7,40-49,45,33.7,50.8,39.9,48
2,p,7,40-49,45,35.2,50.8,39.9,48
2,p,7,40-49,44,38.4,50.8,39.9,48
2,p,7,40-49,43,32,50.8,39.9,48
3,p,7,10-19,18,3.5,49.1,43.8,48
3,p,7,10-19,18.5,2.9,49.1,43.8,48
3,p,7,10-19,15.5,2.7,49.1,43.8,48
3,p,7,10-19,14,1.8,49.1,43.8,48
3,p,7,10-19,16,3.7,49.1,43.8,48
3,p,7,10-19,18,3.6,49.1,43.8,48
3,p,7,10-19,15,2.4,49.1,43.8,48
4,p,7,50-59,54,67.7,49.3,32,48
4,p,7,50-59,53,55,49.3,32,48
4,p,7,50-59,57,86.7,49.3,32,48
4,p,7,50-59,53,61,49.3,32,48
4,p,7,50-59,53,64.6,49.3,32,48
4,p,7,50-59,55,58.6,49.3,32,48
4,p,7,50-59,52,47,49.3,32,48
5,p,7,60-70,60,101.6,49.9,31.1,48
5,p,7,60-70,61,92.1,49.9,31.1,48
5,p,7,60-70,66,121,49.9,31.1,48
5,p,7,60-70,67,138.8,49.9,31.1,48
5,p,7,60-70,62,117,49.9,31.1,48
5,p,7,60-70,66,114.9,49.9,31.1,48
5,p,7,60-70,60,96,49.9,31.1,48
6,p,7,20-29,25,8.2,47.4,38.8,48
6,p,7,20-29,26,8.7,47.4,38.8,48
6,p,7,20-29,26,9.6,47.4,38.8,48
6,p,7,20-29,21,5.2,47.4,38.8,48
6,p,7,20-29,21,5,47.4,38.8,48
6,p,7,20-29,24,6.8,47.4,38.8,48
6,p,7,20-29,20,4.4,47.4,38.8,48
7,p,7,30-39,31,16,51.6,40.1,48
7,p,7,30-39,33,16.6,51.6,40.1,48
7,p,7,30-39,38,22.8,51.6,40.1,48
7,p,7,30-39,32,17.3,51.6,40.1,48
7,p,7,30-39,35,20.6,51.6,40.1,48
7,p,7,30-39,34,19.7,51.6,40.1,48
7,p,7,30-39,31,16.1,51.6,40.1,48
8,p,7,10-19,18,3.3,49.7,45.3,48
8,p,7,10-19,18,3.1,49.7,45.3,48
8,p,7,10-19,19,3.6,49.7,45.3,48
8,p,7,10-19,17,3.3,49.7,45.3,48
8,p,7,10-19,18,3.1,49.7,45.3,48
8,p,7,10-19,16,3,49.7,45.3,48
8,p,7,10-19,18,3.4,49.7,45.3,48
9,p,7,30-39,32,17.2,47.5,31.7,48
9,p,7,30-39,38,23,47.5,31.7,48
9,p,7,30-39,34,18.7,47.5,31.7,48
9,p,7,30-39,37,22.1,47.5,31.7,48
9,p,7,30-39,37,23,47.5,31.7,48
9,p,7,30-39,33,20.7,47.5,31.7,48
9,p,7,30-39,32,20.3,47.5,31.7,48
10,p,7,10-19,19,3.9,51,47.4,48
10,p,7,10-19,17,2.6,51,47.4,48
10,p,7,10-19,17,2.9,51,47.4,48
10,p,7,10-19,19,4.1,51,47.4,48
10,p,7,10-19,16,2.5,51,47.4,48
10,p,7,10-19,17,3.1,51,47.4,48
10,p,7,10-19,13,1.3,51,47.4,48
11,p,7,40-49,41,26.2,48.8,34.4,48
11,p,7,40-49,43,27.7,48.8,34.4,48
11,p,7,40-49,42,30.3,48.8,34.4,48
11,p,7,40-49,42,30.1,48.8,34.4,48
11,p,7,40-49,46,33.6,48.8,34.4,48
11,p,7,40-49,49,45.2,48.8,34.4,48
11,p,7,40-49,45,30.2,48.8,34.4,48
12,p,7,60-70,67,134,48.8,35.8,48
12,p,7,60-70,66,126.9,48.8,35.8,48
12,p,7,60-70,62,95.4,48.8,35.8,48
12,p,7,60-70,62,119.9,48.8,35.8,48
12,p,7,60-70,64,101.8,48.8,35.8,48
12,p,7,60-70,61,95.2,48.8,35.8,48
12,p,7,60-70,61,93.7,48.8,35.8,48
13,p,7,50-59,56,95.4,49.7,23,48
13,p,7,50-59,58,94.9,49.7,23,48
13,p,7,50-59,54,65.8,49.7,23,48
13,p,7,50-59,56,84.8,49.7,23,48
13,p,7,50-59,56,80.3,49.7,23,48
13,p,7,50-59,57,84.3,49.7,23,48
13,p,7,50-59,56,75.2,49.7,23,48
14,p,7,20-29,29,10.7,52.5,45.3,48
14,p,7,20-29,25,8.9,52.5,45.3,48
14,p,7,20-29,29,12.8,52.5,45.3,48
14,p,7,20-29,20,4.6,52.5,45.3,48
14,p,7,20-29,23,5.7,52.5,45.3,48
14,p,7,20-29,25,7.2,52.5,45.3,48
14,p,7,20-29,21,4.4,52.5,45.3,48
16,p,7,40-49,44,30.8,49.7,40.6,48
16,p,7,40-49,43,34.9,49.7,40.6,48
16,p,7,40-49,45,45.1,49.7,40.6,48
16,p,7,40-49,47,38.6,49.7,40.6,48
16,p,7,40-49,44,39.1,49.7,40.6,48
16,p,7,40-49,40,34.4,49.7,40.6,48
16,p,7,40-49,47,42.9,49.7,40.6,48
18,p,7,10-19,13,1.9,51.2,44.8,48
18,p,7,10-19,15,2.2,51.2,44.8,48
18,p,7,10-19,18,3.5,51.2,44.8,48
18,p,7,10-19,16,2.6,51.2,44.8,48
18,p,7,10-19,17,3.4,51.2,44.8,48
18,p,7,10-19,18,4.4,51.2,44.8,48
18,p,7,10-19,19,3.7,51.2,44.8,48
19,p,7,30-39,35,20,51,38.6,48
19,p,7,30-39,37,25.7,51,38.6,48
19,p,7,30-39,37,22,51,38.6,48
19,p,7,30-39,38,23.8,51,38.6,48
19,p,7,30-39,35,19.8,51,38.6,48
19,p,7,30-39,32,16.8,51,38.6,48
19,p,7,30-39,37,24.7,51,38.6,48
20,p,7,50-59,59,95.5,48.9,18.8,48
20,p,7,50-59,59,87.9,48.9,18.8,48
20,p,7,50-59,57,94.2,48.9,18.8,48
20,p,7,50-59,59,85.9,48.9,18.8,48
20,p,7,50-59,50,58.7,48.9,18.8,48
20,p,7,50-59,53,67.8,48.9,18.8,48
20,p,7,50-59,51,57.7,48.9,18.8,48
21,p,7,50-59,59,91.1,48.9,29.2,48
21,p,7,50-59,56,85.2,48.9,29.2,48
21,p,7,50-59,57,86.1,48.9,29.2,48
21,p,7,50-59,59,100.9,48.9,29.2,48
21,p,7,50-59,52,69.9,48.9,29.2,48
21,p,7,50-59,59,87.9,48.9,29.2,48
21,p,7,50-59,58,101.7,48.9,29.2,48
22,p,7,60-70,63,99,49.8,43.1,48
22,p,7,60-70,64,114.6,49.8,43.1,48
22,p,7,60-70,66,120.9,49.8,43.1,48
22,p,7,60-70,62,103.3,49.8,43.1,48
22,p,7,60-70,62,89.2,49.8,43.1,48
22,p,7,60-70,61,95.4,49.8,43.1,48
22,p,7,60-70,67,130,49.8,43.1,48
28,p,7,40-49,41,33.1,50.6,30.8,48
28,p,7,40-49,49,45.8,50.6,30.8,48
28,p,7,40-49,43,36.8,50.6,30.8,48
28,p,7,40-49,38,24.4,50.6,30.8,48
28,p,7,40-49,44,38.5,50.6,30.8,48
28,p,7,40-49,45,37.8,50.6,30.8,48
28,p,7,40-49,47,42,50.6,30.8,48
29,p,7,50-59,56,86.6,50.7,32.9,48
29,p,7,50-59,59,95.4,50.7,32.9,48
29,p,7,50-59,55,74.3,50.7,32.9,48
29,p,7,50-59,56,82.3,50.7,32.9,48
29,p,7,50-59,59,83.2,50.7,32.9,48
29,p,7,50-59,56,65.4,50.7,32.9,48
29,p,7,50-59,57,87.3,50.7,32.9,48
30,p,7,10-19,19,3.2,50.8,44.7,48
30,p,7,10-19,18,3.1,50.8,44.7,48
30,p,7,10-19,18,3.5,50.8,44.7,48
30,p,7,10-19,18,3.3,50.8,44.7,48
30,p,7,10-19,20,4.3,50.8,44.7,48
30,p,7,10-19,14,1.7,50.8,44.7,48
30,p,7,10-19,17,3.6,50.8,44.7,48
31,p,7,20-29,23,6,50.3,40.4,48
31,p,7,20-29,27,10.7,50.3,40.4,48
31,p,7,20-29,22,5.4,50.3,40.4,48
31,p,7,20-29,23,6.6,50.3,40.4,48
31,p,7,20-29,22,6,50.3,40.4,48
31,p,7,20-29,25,8,50.3,40.4,48
31,p,7,20-29,23,6.2,50.3,40.4,48
32,p,7,60-70,61,95.3,51.6,32.6,48
32,p,7,60-70,62,98.9,51.6,32.6,48
32,p,7,60-70,66,136.2,51.6,32.6,48
32,p,7,60-70,64,103.2,51.6,32.6,48
32,p,7,60-70,67,118.2,51.6,32.6,48
32,p,7,60-70,66,125.8,51.6,32.6,48
32,p,7,60-70,64,108.7,51.6,32.6,48
33,p,7,10-19,19.5,3.8,50.9,43.7,48
33,p,7,10-19,19.5,4,50.9,43.7,48
33,p,7,10-19,16,2.2,50.9,43.7,48
33,p,7,10-19,17,3.4,50.9,43.7,48
33,p,7,10-19,17,2.9,50.9,43.7,48
33,p,7,10-19,19,4,50.9,43.7,48
33,p,7,10-19,11,0.8,50.9,43.7,48
34,p,7,30-39,31,16,50.7,40.4,48
34,p,7,30-39,37,21.8,50.7,40.4,48
34,p,7,30-39,39,25.5,50.7,40.4,48
34,p,7,30-39,33,17,50.7,40.4,48
34,p,7,30-39,35,23.7,50.7,40.4,48
34,p,7,30-39,30,15.4,50.7,40.4,48
34,p,7,30-39,31,15.6,50.7,40.4,48
35,p,7,10-19,19,3.8,50.5,45.8,48
35,p,7,10-19,17,3,50.5,45.8,48
35,p,7,10-19,18,3.6,50.5,45.8,48
35,p,7,10-19,16,3,50.5,45.8,48
35,p,7,10-19,17,2.8,50.5,45.8,48
35,p,7,10-19,15,2.6,50.5,45.8,48
35,p,7,10-19,18,3.8,50.5,45.8,48
36,p,7,30-39,35,19.4,50.6,28.4,48
36,p,7,30-39,34,17.6,50.6,28.4,48
36,p,7,30-39,35,21,50.6,28.4,48
36,p,7,30-39,34,17.6,50.6,28.4,48
36,p,7,30-39,36,23.7,50.6,28.4,48
36,p,7,30-39,35,19.6,50.6,28.4,48
36,p,7,30-39,37,23.4,50.6,28.4,48
37,p,7,40-49,43,43.6,50.3,46.9,48
37,p,7,40-49,44,46.2,50.3,46.9,48
37,p,7,40-49,45,41.8,50.3,46.9,48
37,p,7,40-49,41,29.2,50.3,46.9,48
37,p,7,40-49,43,32.4,50.3,46.9,48
37,p,7,40-49,43,34.3,50.3,46.9,48
