trial_id,sp,urchin_density,size_class,test_diameter,mass,kelp_in,kelp_out,time_ran
37,p,7,40-49,40,31.7,50.3,46.9,48
38,p,7,60-70,63,121.7,49.6,41.4,48
38,p,7,60-70,59,96.8,49.6,41.4,48
38,p,7,60-70,66,129.4,49.6,41.4,48
38,p,7,60-70,69,171.2,49.6,41.4,48
38,p,7,60-70,61,85.8,49.6,41.4,48
38,p,7,60-70,62,95.3,49.6,41.4,48
38,p,7,60-70,64,110.9,49.6,41.4,48
39,p,7,20-29,25,7.3,49.6,41.1,48
39,p,7,20-29,27,11.6,49.6,41.1,48
39,p,7,20-29,24,7.6,49.6,41.1,48
39,p,7,20-29,23,6.2,49.6,41.1,48
39,p,7,20-29,21,4.9,49.6,41.1,48
39,p,7,20-29,22,5.3,49.6,41.1,48
39,p,7,20-29,20,4.4,49.6,41.1,48
40,p,7,50-59,57,79.8,50.8,27,48
40,p,7,50-59,58,83.6,50.8,27,48
40,p,7,50-59,59,89.7,50.8,27,48
40,p,7,50-59,59,94,50.8,27,48
40,p,7,50-59,59,87.8,50.8,27,48
40,p,7,50-59,51,57.6,50.8,27,48
40,p,7,50-59,59,100.1,50.8,27,48
41,p,7,40-49,43,35.8,50.6,35.4,48
41,p,7,40-49,44,45.8,50.6,35.4,48
41,p,7,40-49,44,35.7,50.6,35.4,48
41,p,7,40-49,42,31,50.6,35.4,48
41,p,7,40-49,46,41,50.6,35.4,48
41,p,7,40-49,44,37.7,50.6,35.4,48
41,p,7,40-49,41,36.2,50.6,35.4,48
43,p,7,10-19,15,2.4,50.7,46,48
43,p,7,10-19,18,3.4,50.7,46,48
43,p,7,10-19,16,2.5,50.7,46,48
43,p,7,10-19,13,1.5,50.7,46,48
43,p,7,10-19,18,3.3,50.7,46,48
43,p,7,10-19,17,2.9,50.7,46,48
43,p,7,10-19,17,2.6,50.7,46,48
44,p,7,20-29,22,6.1,50.8,43.1,48
44,p,7,20-29,21,4.8,50.8,43.1,48
44,p,7,20-29,20,5.1,50.8,43.1,48
44,p,7,20-29,21,4.7,50.8,43.1,48
44,p,7,20-29,25,7.3,50.8,43.1,48
44,p,7,20-29,24,6.7,50.8,43.1,48
44,p,7,20-29,20,4.2,50.8,43.1,48
46,p,7,30-39,35,27.3,50.9,35.1,48
46,p,7,30-39,37,25.1,50.9,35.1,48
46,p,7,30-39,33,17.8,50.9,35.1,48
46,p,7,30-39,34,19.6,50.9,35.1,48
46,p,7,30-39,33,19,50.9,35.1,48
46,p,7,30-39,33,19.1,50.9,35.1,48
46,p,7,30-39,33,18.7,50.9,35.1,48
47,p,7,50-59,59,85,50.4,28.5,48
47,p,7,50-59,57,57.5,50.4,28.5,48
47,p,7,50-59,54,67.9,50.4,28.5,48
47,p,7,50-59,59,99.4,50.4,28.5,48
47,p,7,50-59,54,67,50.4,28.5,48
47,p,7,50-59,59,95.7,50.4,28.5,48
47,p,7,50-59,53,63.7,50.4,28.5,48
48,p,7,60-70,67,115.2,49.3,29.2,48
48,p,7,60-70,63,110.4,49.3,29.2,48
48,p,7,60-70,62,95.4,49.3,29.2,48
48,p,7,60-70,61,87.9,49.3,29.2,48
48,p,7,60-70,67,119.5,49.3,29.2,48
48,p,7,60-70,65,102.5,49.3,29.2,48
48,p,7,60-70,65,129,49.3,29.2,48
49,p,7,20-29,32,18.9,50.4,43,48
49,p,7,20-29,34,19.1,50.4,43,48
49,p,7,20-29,32,17.5,50.4,43,48
49,p,7,20-29,34,19.9,50.4,43,48
49,p,7,20-29,37,26.2,50.4,43,48
49,p,7,20-29,32,17.5,50.4,43,48
49,p,7,20-29,30,13.8,50.4,43,48
50,p,7,30-39,27,10.1,50.4,33,48
50,p,7,30-39,21,4.7,50.4,33,48
50,p,7,30-39,23,7.1,50.4,33,48
50,p,7,30-39,19.5,3.7,50.4,33,48
50,p,7,30-39,20,3.8,50.4,33,48
50,p,7,30-39,24,7,50.4,33,48
50,p,7,30-39,21,4,50.4,33,48
51,p,7,60-70,62,101.4,50.8,17.6,48
51,p,7,60-70,65,129.8,50.8,17.6,48
51,p,7,60-70,63,100,50.8,17.6,48
51,p,7,60-70,63,119.6,50.8,17.6,48
51,p,7,60-70,66,112.4,50.8,17.6,48
51,p,7,60-70,64,99.5,50.8,17.6,48
51,p,7,60-70,66,104.3,50.8,17.6,48
52,p,7,40-49,43,37.7,50.5,25.1,48
52,p,7,40-49,45,43.6,50.5,25.1,48
52,p,7,40-49,43,31.5,50.5,25.1,48
52,p,7,40-49,45,40.9,50.5,25.1,48
52,p,7,40-49,47,48.8,50.5,25.1,48
52,p,7,40-49,42,33.5,50.5,25.1,48
52,p,7,40-49,48,45.5,50.5,25.1,48
17,r,5,10-29,29,17,50,37,96
17,r,5,10-29,25,10,50,37,96
17,r,5,10-29,29,14,50,37,96
17,r,5,10-29,26,8,50,37,96
17,r,5,10-29,26,7,50,37,96
18,r,5,90-109,95,452,50,48,96
18,r,5,90-109,90,304,50,48,96
18,r,5,90-109,97,345,50,48,96
18,r,5,90-109,90,291,50,48,96
18,r,5,90-109,90,338,50,48,96
22,r,5,50-69,67,126,50,26,96
22,r,5,50-69,66,127,50,26,96
22,r,5,50-69,68,128,50,26,96
22,r,5,50-69,55,80,50,26,96
22,r,5,50-69,64,119,50,26,96
23,r,5,90-109,96,405,50,48,96
23,r,5,90-109,97,377,50,48,96
23,r,5,90-109,91,281,50,48,96
23,r,5,90-109,90,286,50,48,96
23,r,5,90-109,93,361,50,48,96
24,r,5,50-69,62,157,50,8,96
24,r,5,50-69,59,106,50,8,96
24,r,5,50-69,65,174,50,8,96
24,r,5,50-69,57,85,50,8,96
24,r,5,50-69,64,111,50,8,96
25,r,5,70-89,73,203,50,50,96
25,r,5,70-89,84,251,50,50,96
25,r,5,70-89,73,182,50,50,96
25,r,5,70-89,83,282,50,50,96
25,r,5,70-89,76,187,50,50,96
26,r,5,30-49,45,45,50,17,96
26,r,5,30-49,35,25,50,17,96
26,r,5,30-49,33,29,50,17,96
26,r,5,30-49,34,25,50,17,96
26,r,5,30-49,30,15,50,17,96
27,r,5,70-89,87,293,50,48,96
27,r,5,70-89,75,159,50,48,96
27,r,5,70-89,75,194,50,48,96
27,r,5,70-89,84,241,50,48,96
27,r,5,70-89,80,269,50,48,96
28,r,5,10-29,20,4,50,43,96
28,r,5,10-29,29,10,50,43,96
28,r,5,10-29,27,9,50,43,96
28,r,5,10-29,24,7,50,43,96
28,r,5,10-29,24,8,50,43,96
29,r,5,30-49,45,48,50,24,96
29,r,5,30-49,49,67,50,24,96
29,r,5,30-49,43,48,50,24,96
29,r,5,30-49,45,45,50,24,96
29,r,5,30-49,45,54,50,24,96
30,r,5,50-69,64,88,50,34,96
30,r,5,50-69,69,123,50,34,96
30,r,5,50-69,69,133,50,34,96
30,r,5,50-69,61,94,50,34,96
30,r,5,50-69,54,84,50,34,96
31,r,5,10-29,29,13,50,40,96
31,r,5,10-29,22,8,50,40,96
31,r,5,10-29,29,14,50,40,96
31,r,5,10-29,24,9,50,40,96
31,r,5,10-29,26,11,50,40,96
32,r,5,70-89,71,133,50,44,96
32,r,5,70-89,79,215,50,44,96
32,r,5,70-89,73,180,50,44,96
32,r,5,70-89,89,372,50,44,96
32,r,5,70-89,79,256,50,44,96
33,r,5,30-49,32,21,50,29,96
33,r,5,30-49,33,17,50,29,96
33,r,5,30-49,35,23,50,29,96
33,r,5,30-49,35,21,50,29,96
33,r,5,30-49,36,23,50,29,96
34,r,5,90-109,93,339,50,48,96
34,r,5,90-109,105,470,50,48,96
34,r,5,90-109,91,311,50,48,96
34,r,5,90-109,91,294,50,48,96
34,r,5,90-109,99,427,50,48,96
1,r,5,30-49,32,NA,50.6,33,96
1,r,5,30-49,41,NA,50.6,33,96
1,r,5,30-49,38,NA,50.6,33,96
1,r,5,30-49,43,NA,50.6,33,96
1,r,5,30-49,40,NA,50.6,33,96
3,r,5,90-109,104,NA,50.8,39.2,96
3,r,5,90-109,100,NA,50.8,39.2,96
3,r,5,90-109,92,NA,50.8,39.2,96
3,r,5,90-109,93,NA,50.8,39.2,96
3,r,5,90-109,99,NA,50.8,39.2,96
2,r,5,30-49,33,NA,50.1,39.6,96
2,r,5,30-49,47,NA,50.1,39.6,96
2,r,5,30-49,36,NA,50.1,39.6,96
2,r,5,30-49,35,NA,50.1,39.6,96
2,r,5,30-49,40,NA,50.1,39.6,96
4,r,5,50-69,65,NA,50.7,24.2,96
4,r,5,50-69,66,NA,50.7,24.2,96
4,r,5,50-69,60,NA,50.7,24.2,96
4,r,5,50-69,62,NA,50.7,24.2,96
4,r,5,50-69,60,NA,50.7,24.2,96
5,r,5,90-109,103,NA,50.6,47.5,96
5,r,5,90-109,102,NA,50.6,47.5,96
5,r,5,90-109,103,NA,50.6,47.5,96
5,r,5,90-109,95,NA,50.6,47.5,96
5,r,5,90-109,94,NA,50.6,47.5,96
6,r,5,70-89,88,NA,50.6,47.2,96
6,r,5,70-89,83,NA,50.6,47.2,96
6,r,5,70-89,75,NA,50.6,47.2,96
6,r,5,70-89,79,NA,50.6,47.2,96
6,r,5,70-89,73,NA,50.6,47.2,96
7,r,5,10-29,24,NA,50.2,44,96
7,r,5,10-29,29,NA,50.2,44,96
7,r,5,10-29,27,NA,50.2,44,96
7,r,5,10-29,26,NA,50.2,44,96
7,r,5,10-29,27,NA,50.2,44,96
8,r,5,70-89,88,NA,50.4,47.8,96
8,r,5,70-89,76,NA,50.4,47.8,96
8,r,5,70-89,85,NA,50.4,47.8,96
8,r,5,70-89,83,NA,50.4,47.8,96
8,r,5,70-89,88,NA,50.4,47.8,96
9,r,5,50-69,67,NA,50.8,1.6,96
9,r,5,50-69,51,NA,50.8,1.6,96
9,r,5,50-69,51,NA,50.8,1.6,96
9,r,5,50-69,55,NA,50.8,1.6,96
9,r,5,50-69,62,NA,50.8,1.9,96
10,r,5,70-89,89,NA,50.7,47.9,96
10,r,5,70-89,87,NA,50.7,47.9,96
10,r,5,70-89,79,NA,50.7,47.9,96
10,r,5,70-89,78,NA,50.7,47.9,96
10,r,5,70-89,84,NA,50.7,47.9,96
11,r,5,10-29,28,NA,50.4,36.2,96
11,r,5,10-29,23,NA,50.4,36.2,96
11,r,5,10-29,25,NA,50.4,36.2,96
11,r,5,10-29,22,NA,50.4,36.2,96
11,r,5,10-29,24,NA,50.4,36.2,96
12,r,5,90-109,99,NA,50.7,46,96
12,r,5,90-109,94,NA,50.7,46,96
12,r,5,90-109,103,NA,50.7,46,96
12,r,5,90-109,103,NA,50.7,46,96
12,r,5,90-109,94,NA,50.7,46,96
13,r,5,50-69,61,NA,50.7,6.5,96
13,r,5,50-69,54,NA,50.7,6.5,96
13,r,5,50-69,50,NA,50.7,6.5,96
13,r,5,50-69,66,NA,50.7,6.5,96
13,r,5,50-69,69,NA,50.7,6.5,96
14,r,5,30-49,40,NA,50.8,32,96
14,r,5,30-49,47,NA,50.8,32,96
14,r,5,30-49,35,NA,50.8,32,96
14,r,5,30-49,45,NA,50.8,32,96
14,r,5,30-49,36,NA,50.8,32,96
15,r,5,10-29,21,NA,50.8,41.3,96
15,r,5,10-29,26,NA,50.8,41.3,96
15,r,5,10-29,29,NA,50.8,41.3,96
15,r,5,10-29,22,NA,50.8,41.3,96
15,r,5,10-29,26,NA,50.8,41.3,96
