size
74
47
81
78
43
43
26
42
47
24
3
62
82
105
86
95
21
93
31
104
90
45
32
109
79
93
24
72
83
101
84
102
85
79
122
81
105
106
77
93
99
103
20
83
98
60
62
45
52
101
51
93
54
55
103
52
40
35
39
52
55
80
30
35
75
45
48
46
40
55
35
41
45
55
47
60
55
57
32
33
34
33
70
38
38
32
32
32
44
60
45
48
63
32
30
32
39
60
69
50
32
32
38
39
90
94
32
32
36
36
37
38
40
31
35
39
38
35
35
35
35
32
31
33
35
38
32
34
33
32
30
39
35
37
34
32
37
31
35
40
42
45
41
48
47
50
58
52
58
62
65
68
121
100
100
101
105
103
107
90
93
95
32
35
34
33
39
38
34
37
35
35
32
30
37
35
34
32
33
31
38
35
36
34
38
39
39
32
45
44
47
48
48
54
55
55
52
80
83
82
105
106
102
100
85
83
85
85
81
31
32
39
39
38
35
34
32
33
38
31
35
34
32
39
38
35
37
37
33
34
30
31
31
31
40
42
45
48
45
52
54
59
65
