date,type,trial_number,trial_id,tank,tank_size,urchin_density,urchin_size,urchin_mass,total_time,kelp_in_total,Kelp_out_total,mortality
7/3/19,p,1,P7-1,1-BI,1.6,7,65,110,46.18333333,249.2,223.7,
7/3/19,p,1,P7-1,1-BI,1.6,7,69,122,46.18333333,249.2,223.7,
7/3/19,p,1,P7-1,1-BI,1.6,7,54,67,46.18333333,249.2,223.7,
7/3/19,p,1,P7-1,1-BI,1.6,7,49,58,46.18333333,249.2,223.7,
7/3/19,p,1,P7-1,1-BI,1.6,7,49,54,46.18333333,249.2,223.7,
7/3/19,p,1,P7-1,1-BI,1.6,7,43,31,46.18333333,249.2,223.7,
7/3/19,p,1,P7-1,1-BI,1.6,7,48,48,46.18333333,249.2,223.7,
7/3/19,r,1,R1-1,1-BD,1.6,1,87,229,94.41666667,248.6,233.2,
7/3/19,r,1,R7-1,2-BI,1.6,7,81,209,94.45,249,183.1,
7/3/19,r,1,R7-1,2-BI,1.6,7,84,265,94.45,249,183.1,
7/3/19,r,1,R7-1,2-BI,1.6,7,70,127,94.45,249,183.1,
7/3/19,r,1,R7-1,2-BI,1.6,7,66,157,94.45,249,183.1,
7/3/19,r,1,R7-1,2-BI,1.6,7,38,31,94.45,249,183.1,
7/3/19,r,1,R7-1,2-BI,1.6,7,46,49,94.45,249,183.1,
7/3/19,r,1,R7-1,2-BI,1.6,7,48,59,94.45,249,183.1,
7/3/19,p,1,P22-1,2-BD,1.6,22,54,69,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,57,78,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,49,57,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,65,95,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,64,99,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,51,57,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,53,64,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,57,79,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,57,83,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,53,75,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,50,46,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,50,47,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,68,126,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,57,76,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,49,50,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,44,43,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,42,40,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,65,94,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,56,76,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,51,51,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,39,25,46.23333333,249.8,199.5,
7/3/19,p,1,P22-1,2-BD,1.6,22,46,42,46.23333333,249.8,199.5,
7/3/19,p,1,P3-1,3-BI,1.6,3,69,137,46.91666667,250.3,229.6,
7/3/19,p,1,P3-1,3-BI,1.6,3,46,42,46.91666667,250.3,229.6,
7/3/19,p,1,P3-1,3-BI,1.6,3,68,122,46.91666667,250.3,229.6,
7/3/19,p,1,P44-1,3-BD,1.6,44,44,36,46.71666667,250.5,165.1,
7/3/19,p,1,P44-1,3-BD,1.6,44,54,65,46.71666667,250.5,165.1,
7/3/19,p,1,P44-1,3-BD,1.6,44,55,68,46.71666667,250.5,165.1,
7/3/19,p,1,P44-1,3-BD,1.6,44,65,110,46.71666667,250.5,165.1,
