trial_number,p_r,trial_id,tank,b_t,i_d,kelp_in,kelp_out,consumption,mortality,urchin_density
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,p,P7-1,1-BI,b,i,249.2,223.7,25.5,0,7
1,r,R1-1,1-BD,b,d,248.6,233.2,15.4,0,1
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,r,R7-1,2-BI,b,i,249,183.1,65.9,0,7
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P22-1,2-BD,b,d,249.8,199.5,50.3,0,22
1,p,P3-1,3-BI,b,i,250.3,229.6,20.7,0,3
1,p,P3-1,3-BI,b,i,250.3,229.6,20.7,0,3
1,p,P3-1,3-BI,b,i,250.3,229.6,20.7,0,3
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
1,p,P44-1,3-BD,b,d,250.5,165.1,85.4,0,44
