date,trial_number,p_r,trial_id,total_time,tank,tank_size,urchin_density,urchin_size,urchin_mass,tank_biomass,ad_lib_feeding,days_starved,kelp_in1,kelp_in2,kelp_in3,kelp_in,kelp_out1,kelp_out2,kelp_out_R,kelp_out,mortality
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,65,110,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,69,122,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,54,67,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,49,58,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,49,54,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,43,31,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,p,P7-1,46.18333333,1-BI,1.6,7,48,48,490,8,5,99,99.5,50.7,249.2,140.4,83.3,0,223.7,0
43649,1,r,R1-1,94.41666667,1-BD,1.6,1,87,229,229,8,5,99.2,99,50.4,248.6,166,80.4,233.2,233.2,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,81,209,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,84,265,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,70,127,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,66,157,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,38,31,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,46,49,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,r,R7-1,94.45,2-BI,1.6,7,48,59,897,8,5,99.5,99.4,50.1,249,115.7,101,183.1,183.1,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,54,69,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,57,78,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,49,57,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,65,95,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,64,99,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,51,57,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
43649,1,p,P22-1,46.23333333,2-BD,1.6,22,53,64,1472,8,5,99.6,99.8,50.4,249.8,199.5,0,0,199.5,0
