trial_id,size_class,tank,side,level,size,Kelp_in,Kelp_out,time_ran,round,urchin_density,weight,urchin,use
17,10.0-29,5,I,T,29,50,37,96,2,5,17,r,1
17,10.0-29,5,I,T,25,50,37,96,2,5,10,r,1
17,10.0-29,5,I,T,29,50,37,96,2,5,14,r,1
17,10.0-29,5,I,T,26,50,37,96,2,5,8,r,1
17,10.0-29,5,I,T,26,50,37,96,2,5,7,r,1
17,10.0-29,5,I,T,29,50,45,48,2,5,17,r,1
17,10.0-29,5,I,T,25,50,45,48,2,5,10,r,1
17,10.0-29,5,I,T,29,50,45,48,2,5,14,r,1
17,10.0-29,5,I,T,26,50,45,48,2,5,8,r,1
17,10.0-29,5,I,T,26,50,45,48,2,5,7,r,1
18,90-109,5,D,T,95,50,48,96,2,5,452,r,1
18,90-109,5,D,T,90,50,48,96,2,5,304,r,1
18,90-109,5,D,T,97,50,48,96,2,5,345,r,1
18,90-109,5,D,T,90,50,48,96,2,5,291,r,1
18,90-109,5,D,T,90,50,48,96,2,5,338,r,1
18,90-109,5,D,T,95,50,49,48,2,5,452,r,1
18,90-109,5,D,T,90,50,49,48,2,5,304,r,1
18,90-109,5,D,T,97,50,49,48,2,5,345,r,1
18,90-109,5,D,T,90,50,49,48,2,5,291,r,1
18,90-109,5,D,T,90,50,49,48,2,5,338,r,1
19,NA,5,D,B,NA,50,49,96,2,5,NA,r,0
19,NA,5,D,B,NA,50,50,48,2,5,NA,r,0
20,NA,7,I,T,NA,50,50,96,2,5,NA,r,0
20,NA,7,I,T,NA,50,50,48,2,5,NA,r,0
21,NA,7,D,T,NA,50,49,96,2,5,NA,r,0
21,NA,7,D,T,NA,50,50,48,2,5,NA,r,0
22,50-69,7,I,B,67,50,26,96,2,5,126,r,1
22,50-69,7,I,B,66,50,26,96,2,5,127,r,1
22,50-69,7,I,B,68,50,26,96,2,5,128,r,1
22,50-69,7,I,B,55,50,26,96,2,5,80,r,1
22,50-69,7,I,B,64,50,26,96,2,5,119,r,1
22,50-69,7,I,B,67,50,39,48,2,5,126,r,1
22,50-69,7,I,B,66,50,39,48,2,5,127,r,1
22,50-69,7,I,B,68,50,39,48,2,5,128,r,1
22,50-69,7,I,B,55,50,39,48,2,5,80,r,1
22,50-69,7,I,B,64,50,39,48,2,5,119,r,1
23,90-109,7,D,B,96,50,48,96,2,5,405,r,1
23,90-109,7,D,B,97,50,48,96,2,5,377,r,1
23,90-109,7,D,B,91,50,48,96,2,5,281,r,1
23,90-109,7,D,B,90,50,48,96,2,5,286,r,1
23,90-109,7,D,B,93,50,48,96,2,5,361,r,1
23,90-109,7,D,B,96,50,48,48,2,5,405,r,1
23,90-109,7,D,B,97,50,48,48,2,5,377,r,1
23,90-109,7,D,B,91,50,48,48,2,5,281,r,1
23,90-109,7,D,B,90,50,48,48,2,5,286,r,1
23,90-109,7,D,B,93,50,48,48,2,5,361,r,1
24,50-69,12,I,T,62,50,8,96,2,5,157,r,1
24,50-69,12,I,T,59,50,8,96,2,5,106,r,1
24,50-69,12,I,T,65,50,8,96,2,5,174,r,1
24,50-69,12,I,T,57,50,8,96,2,5,85,r,1
24,50-69,12,I,T,64,50,8,96,2,5,111,r,1
24,50-69,12,I,T,62,50,34,48,2,5,157,r,1
24,50-69,12,I,T,59,50,34,48,2,5,106,r,1
24,50-69,12,I,T,65,50,34,48,2,5,174,r,1
24,50-69,12,I,T,57,50,34,48,2,5,85,r,1
24,50-69,12,I,T,64,50,34,48,2,5,111,r,1
25,70-89,12,D,T,73,50,50,96,2,5,203,r,1
25,70-89,12,D,T,84,50,50,96,2,5,251,r,1
25,70-89,12,D,T,73,50,50,96,2,5,182,r,1
25,70-89,12,D,T,83,50,50,96,2,5,282,r,1
25,70-89,12,D,T,76,50,50,96,2,5,187,r,1
25,70-89,12,D,T,73,50,50,48,2,5,203,r,1
25,70-89,12,D,T,84,50,50,48,2,5,251,r,1
25,70-89,12,D,T,73,50,50,48,2,5,182,r,1
25,70-89,12,D,T,83,50,50,48,2,5,282,r,1
25,70-89,12,D,T,76,50,50,48,2,5,187,r,1
26,30-49,12,I,B,45,50,17,96,2,5,45,r,1
26,30-49,12,I,B,35,50,17,96,2,5,25,r,1
26,30-49,12,I,B,33,50,17,96,2,5,29,r,1
26,30-49,12,I,B,34,50,17,96,2,5,25,r,1
26,30-49,12,I,B,30,50,17,96,2,5,15,r,1
26,30-49,12,I,B,45,50,31,48,2,5,45,r,1
26,30-49,12,I,B,35,50,31,48,2,5,25,r,1
26,30-49,12,I,B,33,50,31,48,2,5,29,r,1
26,30-49,12,I,B,34,50,31,48,2,5,25,r,1
26,30-49,12,I,B,30,50,31,48,2,5,15,r,1
27,70-89,12,D,B,87,50,48,96,2,5,293,r,1
27,70-89,12,D,B,75,50,48,96,2,5,159,r,1
27,70-89,12,D,B,75,50,48,96,2,5,194,r,1
27,70-89,12,D,B,84,50,48,96,2,5,241,r,1
27,70-89,12,D,B,80,50,48,96,2,5,269,r,1
27,70-89,12,D,B,87,50,48,48,2,5,293,r,1
27,70-89,12,D,B,75,50,48,48,2,5,159,r,1
27,70-89,12,D,B,75,50,48,48,2,5,194,r,1
27,70-89,12,D,B,84,50,48,48,2,5,241,r,1
27,70-89,12,D,B,80,50,48,48,2,5,269,r,1
