date,week_no,trial_id,tank,side,size,weight
5/20/19,1,2,1,I,47,41.7
5/20/19,1,2,1,I,44,34.9
5/20/19,1,2,1,I,48,41.9
5/20/19,1,2,1,I,45,33.7
5/20/19,1,2,1,I,45,35.2
5/20/19,1,2,1,I,44,38.4
5/20/19,1,2,1,I,43,32
5/20/19,1,3,2,D,18,3.5
5/20/19,1,3,2,D,18.5,2.9
5/20/19,1,3,2,D,15.5,2.7
5/20/19,1,3,2,D,14,1.8
5/20/19,1,3,2,D,16,3.7
5/20/19,1,3,2,D,18,3.6
5/20/19,1,3,2,D,15,2.4
5/20/19,1,4,2,I,54,67.7
5/20/19,1,4,2,I,53,55
5/20/19,1,4,2,I,57,86.7
5/20/19,1,4,2,I,53,61
5/20/19,1,4,2,I,53,64.6
5/20/19,1,4,2,I,55,58.6
5/20/19,1,4,2,I,52,47
5/20/19,1,5,3,D,60,101.6
5/20/19,1,5,3,D,61,92.1
5/20/19,1,5,3,D,66,121
5/20/19,1,5,3,D,67,138.8
5/20/19,1,5,3,D,62,117
5/20/19,1,5,3,D,66,114.9
5/20/19,1,5,3,D,60,96
5/20/19,1,6,3,I,25,8.2
5/20/19,1,6,3,I,26,8.7
5/20/19,1,6,3,I,26,9.6
5/20/19,1,6,3,I,21,5.2
5/20/19,1,6,3,I,21,5
5/20/19,1,6,3,I,24,6.8
5/20/19,1,6,3,I,20,4.4
5/20/19,1,7,4,D,31,16
5/20/19,1,7,4,D,33,16.6
5/20/19,1,7,4,D,38,22.8
5/20/19,1,7,4,D,32,17.3
5/20/19,1,7,4,D,35,20.6
5/20/19,1,7,4,D,34,19.7
5/20/19,1,7,4,D,31,16.1
5/20/19,1,8,4,I,18,3.3
5/20/19,1,8,4,I,18,3.1
5/20/19,1,8,4,I,19,3.6
5/20/19,1,8,4,I,17,3.3
5/20/19,1,8,4,I,18,3.1
5/20/19,1,8,4,I,16,3
5/20/19,1,8,4,I,18,3.4
5/20/19,1,9,5,I,32,17.2
5/20/19,1,9,5,I,38,23
5/20/19,1,9,5,I,34,18.7
5/20/19,1,9,5,I,37,22.1
5/20/19,1,9,5,I,37,23
5/20/19,1,9,5,I,33,20.7
5/20/19,1,9,5,I,32,20.3
5/20/19,1,10,5,D,19,3.9
5/20/19,1,10,5,D,17,2.6
5/20/19,1,10,5,D,17,2.9
5/20/19,1,10,5,D,19,4.1
5/20/19,1,10,5,D,16,2.5
5/20/19,1,10,5,D,17,3.1
5/20/19,1,10,5,D,13,1.3
5/20/19,1,11,6,I,41,26.2
5/20/19,1,11,6,I,43,27.7
5/20/19,1,11,6,I,42,30.3
5/20/19,1,11,6,I,42,30.1
5/20/19,1,11,6,I,46,33.6
5/20/19,1,11,6,I,49,45.2
5/20/19,1,11,6,I,45,30.2
5/20/19,1,12,6,D,67,134
5/20/19,1,12,6,D,66,126.9
5/20/19,1,12,6,D,62,95.4
5/20/19,1,12,6,D,62,119.9
5/20/19,1,12,6,D,64,101.8
5/20/19,1,12,6,D,61,95.2
5/20/19,1,12,6,D,61,93.7
5/20/19,1,13,7,I,56,95.4
5/20/19,1,13,7,I,58,94.9
5/20/19,1,13,7,I,54,65.8
5/20/19,1,13,7,I,56,84.8
5/20/19,1,13,7,I,56,80.3
5/20/19,1,13,7,I,57,84.3
5/20/19,1,13,7,I,56,75.2
5/20/19,1,14,7,D,29,10.7
5/20/19,1,14,7,D,25,8.9
5/20/19,1,14,7,D,29,12.8
5/20/19,1,14,7,D,20,4.6
5/20/19,1,14,7,D,23,5.7
5/20/19,1,14,7,D,25,7.2
5/20/19,1,14,7,D,21,4.4
5/20/19,1,16,8,I,44,30.8
